Ticker,symbol,Market Cap,Trailing P/E,Forward P/E,P/B Ratio,Graham Metric,Dividend Yield %,Beta,Alpha %,CROCI %,Sortino Ratio,Volatility,6 Month Appreciation %,Financial Currency,Trailing P/E Graham Status,P/B Ratio Graham Status,Combined P/E x P/B Graham Status,Trailing P/E Sector Status,Forward P/E Sector Status,P/B Ratio Sector Status,sector
ICL,ICL,6247841280.0,13.249999,10.6,1.0675918,14.1455902824082,3.83,0.585,-42.5,22.936894313453536,0.014418905268554853,0.020966306298329823,-8.092486929930388,USD,Undervalued,Undervalued,Undervalued,Undervalued,Fair Value,Undervalued,Basic Materials
STLD,STLD,21044819968.0,9.167008,13.0918865,2.3306766,21.365331037612798,1.37,1.482,18.34,39.61080694818097,0.07149753902971208,0.02457118837970652,18.83761872441665,USD,Undervalued,Overvalued,Undervalued,Undervalued,Fair Value,Overvalued,Basic Materials
CENX,CENX,1654703872.0,8.076923,19.615385,2.7508092,22.218074096091602,,2.668,-6.84,22.075365579302584,0.03786785106165329,0.046257943258603544,127.38854265381325,USD,Undervalued,Overvalued,Undervalued,Undervalued,Overvalued,Overvalued,Basic Materials
GGB,GGB,8080819200.0,6.3999996,6.736842,0.15557897,0.9957053457684121,6.59,1.345,-14.65,19.00509603556814,0.026218760545282563,0.03299590187970899,-2.989468061705584,BRL,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
ASTL,ASTL,829049856.0,16.914894,5.520833,0.5740901,9.710673187949402,2.52,1.537,-15.87,17.71987416222131,0.0051280195628225075,0.025807777674626838,0.37878450356315363,CAD,Fair Value,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
VALE,VALE,55601483776.0,7.1767955,6.0985913,0.29699576,2.13147783388708,13.5,0.923,-18.15,213.97329203010565,0.03112690900569534,0.03057550540237008,-14.59566246851417,BRL,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Undervalued,Basic Materials
ZEUS,ZEUS,591358400.0,14.165333,17.30293,1.0504044,14.879328110665199,1.13,1.672,15.79,19.255848116397047,0.043717879850880784,0.03607151511717965,-2.1190372511124442,USD,Undervalued,Undervalued,Undervalued,Undervalued,Overvalued,Undervalued,Basic Materials
METC,METC,684906112.0,11.083333,6.65,1.8967484,21.022294134417198,4.14,1.078,-2.64,34.003868995278744,0.03475933935435031,0.04500199420549469,-24.043403672849735,USD,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Fair Value,Basic Materials
ARCH,ARCH,2921861376.0,9.398602,7.0892305,1.9978447,18.7769471931094,4.8699997,0.695,3.16,37.41496766378993,0.04626455727218032,0.031772304976638015,0.4234076276080319,USD,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Fair Value,Basic Materials
HDSN,HDSN,429622880.0,9.731958,9.535353,1.8004959,17.5223504779722,,1.002,25.79,32.37619824017695,0.05107623341350082,0.04970466175335983,-25.55205557424129,USD,Undervalued,Fair Value,Undervalued,Undervalued,Undervalued,Fair Value,Basic Materials
